"cohort_count","person_years","gender","age_group","calendar_year","incidence_rate","cohort_id","database_id"
0,512838.0395,,"80-89",2017,0,2379,"database_schema"
0,479852.3311,,"80-89",2018,0,2379,"database_schema"
0,502994.39,,"80-89",2019,0,2379,"database_schema"
0,516892.44879999995,,"80-89",2020,0,2379,"database_schema"
0,539275.7425,,"80-89",2021,0,2379,"database_schema"
0,147084.9253,,"80-89",2022,0,2379,"database_schema"
0,8338644.9906,"Female",,2017,0,2379,"database_schema"
45,5674132.2404000005,"Female",,2018,0.007930728099637612,2379,"database_schema"
9,5266669.3002,"Female",,2019,0.0017088599049988249,2379,"database_schema"
20,4348369.5382,"Female",,2020,0.004599425100443272,2379,"database_schema"
17,4087472.1035,"Female",,2021,0.004159049791543122,2379,"database_schema"
0,1191566.0119,"Female",,2022,0,2379,"database_schema"
0,7566435.7915,"Male",,2017,0,2379,"database_schema"
110,5201333.9954,"Male",,2018,0.021148420789221137,2379,"database_schema"
21,4829689.2535,"Male",,2019,0.004348105829952027,2379,"database_schema"
37,4042101.708,"Male",,2020,0.009153653884257975,2379,"database_schema"
32,3804500.7332,"Male",,2021,0.008411090506765261,2379,"database_schema"
0,1111095.0796,"Male",,2022,0,2379,"database_schema"
0,359.2849,"No matching concept",,2017,0,2379,"database_schema"
0,127.8436,"No matching concept",,2018,0,2379,"database_schema"
0,30.3732,"No matching concept",,2019,0,2379,"database_schema"
0,33.595800000000004,"No matching concept",,2020,0,2379,"database_schema"
0,79.1071,"No matching concept",,2021,0,2379,"database_schema"
0,82.8087,"No matching concept",,2022,0,2379,"database_schema"
0,847205.1608,"Male","0-9",2017,0,2379,"database_schema"
0,1165615.4688,"Female","30-39",2017,0,2379,"database_schema"
-5,725026.6064,"Female","30-39",2019,-0.006896298640441176,2379,"database_schema"
0,1010801.2539,"Male","10-19",2017,0,2379,"database_schema"
0,435000.605,"Male","0-9",2019,0,2379,"database_schema"
0,1016780.3915,"Male","20-29",2017,0,2379,"database_schema"
0,468066.4722,"Female","0-9",2018,0,2379,"database_schema"
0,1161695.3949,"Female","40-49",2017,0,2379,"database_schema"
0,1326391.5646,"Female","50-59",2017,0,2379,"database_schema"
17,625077.7193,"Male","60-69",2018,0.02719661807660915,2379,"database_schema"
0,1180650.9021,"Male","50-59",2017,0,2379,"database_schema"
-5,621508.1259,"Male","60-69",2019,-0.008044947107907154,2379,"database_schema"
