"cohort_id","concept_set_id","database_id","concept_id","concept_count","concept_subjects"
2379,4,"database_schema",1314465,-5,-5
2379,4,"database_schema",1568180,25,21
2379,4,"database_schema",1765871,5408,2202
2379,4,"database_schema",2101868,107949,60443
2379,4,"database_schema",2101895,22535,13037
2379,4,"database_schema",2101896,1820,1271
2379,4,"database_schema",2101897,626942,335023
2379,4,"database_schema",2108525,9954,6563
2379,4,"database_schema",2108526,508,442
2379,4,"database_schema",2514534,388096,239003
2379,4,"database_schema",2514535,53735,34730
2379,4,"database_schema",2514536,34404,26634
2379,4,"database_schema",2514537,2515,1278
2379,4,"database_schema",2617450,-5,-5
2379,4,"database_schema",2617464,46552,12420
2379,4,"database_schema",2617465,15341,3435
2379,4,"database_schema",2617806,-5,-5
2379,4,"database_schema",2617852,-5,-5
2379,4,"database_schema",2617854,-5,-5
2379,4,"database_schema",2617856,-5,-5
2379,4,"database_schema",2617959,766,571
2379,4,"database_schema",2721265,48,23
2379,4,"database_schema",2721431,-5,-5
2379,4,"database_schema",2721536,138,75
2379,4,"database_schema",4021160,138,75
2379,4,"database_schema",4070519,2035,1076
2379,4,"database_schema",4103418,97663,46284
2379,4,"database_schema",35210432,2035,1076
2379,4,"database_schema",35225267,195348,120085
2379,4,"database_schema",35225315,1081,636
2379,4,"database_schema",36249641,36934,13024
2379,4,"database_schema",37017812,145391,76423
2379,4,"database_schema",40221861,-5,-5
2379,4,"database_schema",40221863,110,20
2379,4,"database_schema",40664492,15,15
2379,4,"database_schema",40664586,72,63
2379,4,"database_schema",40756893,64762,36785
2379,4,"database_schema",42535213,1545,656
2379,4,"database_schema",42740611,-5,-5
2379,4,"database_schema",42742404,10925,6624
2379,4,"database_schema",42742405,2403,1841
2379,4,"database_schema",42742406,17318,9586
2379,4,"database_schema",44786480,5296,4071
2379,4,"database_schema",44786481,623,469
2379,4,"database_schema",44826156,47,42
2379,4,"database_schema",44831104,40,33
2379,4,"database_schema",44872944,-5,-5
2379,4,"database_schema",44892420,1283,714
2379,4,"database_schema",44960816,111,92
2379,4,"database_schema",45145641,110,20
2379,4,"database_schema",45198819,29395,10784
2379,4,"database_schema",45249462,737,317
2379,4,"database_schema",45533085,6554,1774
2379,4,"database_schema",45536972,78,18
2379,4,"database_schema",45536973,92,34
2379,4,"database_schema",45537659,1545,656
2379,4,"database_schema",45541762,168,40
2379,4,"database_schema",45546628,64,12
2379,4,"database_schema",45546629,142,39
2379,4,"database_schema",45551413,27,8
2379,4,"database_schema",45551415,244,53
2379,4,"database_schema",45551416,68,27
2379,4,"database_schema",45551417,5,-5
2379,4,"database_schema",45552107,145391,76423
2379,4,"database_schema",45552454,900,388
2379,4,"database_schema",45556188,58,18
2379,4,"database_schema",45556846,171,104
2379,4,"database_schema",45560971,429,75
