"database_id","cohort_id","mode_id","inclusion_rule_mask","person_count"
"database_schema",2379,0,15,291
"database_schema",2379,0,5,117
"database_schema",2379,0,7,56
"database_schema",2379,0,4,-5
"database_schema",2379,0,13,1142
"database_schema",2379,0,12,29
"database_schema",2379,1,15,291
"database_schema",2379,1,5,117
"database_schema",2379,1,7,56
"database_schema",2379,1,4,-5
"database_schema",2379,1,13,1142
"database_schema",2379,1,12,29
